Phrase,Toxicity Score,Predicted Classification,Type
That's a big yikes from me.,0.05651112,Non-Toxic,Gen-Z Slang
That's a stupid idea.,0.6667219,Toxic,Common English
This song is so ass.,0.85333383,Toxic,Gen-Z Slang
I detest this melody.,0.33504707,Non-Toxic,Common English
This grub is straight-up so horrible.,0.4475325,Non-Toxic,Gen-Z Slang
This food is outright repulsive.,0.31963667,Non-Toxic,Common English
Homie's a legit clown.,0.4977744,Non-Toxic,Gen-Z Slang
He's a bona fide buffoon.,0.51980776,Toxic,Common English
"They're not just late, they're last century late.",0.02779579,Non-Toxic,Gen-Z Slang
Their chronic lateness is a flagrant defiance of time.,0.14429577,Non-Toxic,Common English
That movie was so bad omfg.,0.50503236,Toxic,Gen-Z Slang
That cinematic disaster is a masterclass in tedium.,0.103060275,Non-Toxic,Common English
"Bro's got an ego the size of a planet, no cap ong fr.",0.2524482,Non-Toxic,Gen-Z Slang
Their egomania is a colossal spectacle of self-obsession.,0.2854835,Non-Toxic,Common English
Bro is so stupid he's like the punching bag of the group,0.8403191,Toxic,Gen-Z Slang
"He's the grandmaster of fools, without a doubt.",0.6588125,Toxic,Common English
Bro is allergic to being a good person,0.28312725,Non-Toxic,Gen-Z Slang
He always refrains from being a good person.,0.112333365,Non-Toxic,Common English
Yo mama so fat,0.7105462,Toxic,Gen-Z Slang
Their mother is quite obese.,0.4977744,Non-Toxic,Common English
Thats totally lit!,0.042657252,Non-Toxic,Gen-Z Slang
What a wonderful idea!,0.011246625,Non-Toxic,Common English
This bop slaps!,0.20973456,Non-Toxic,Gen-Z Slang
This tune is delightful.,0.027324399,Non-Toxic,Common English
"Fam, youre looking snatched!",0.2922276,Non-Toxic,Gen-Z Slang
Youre looking exceptionally sharp today.,0.046368107,Non-Toxic,Common English
Your vibe is so dope.,0.4394682,Non-Toxic,Gen-Z Slang
Your presence is very pleasant.,0.049336795,Non-Toxic,Common English
"This is the tea, sis!",0.046120718,Non-Toxic,Gen-Z Slang
"This is the absolute truth, my friend!",0.019980038,Non-Toxic,Common English
Squad goals asf,0.18364124,Non-Toxic,Gen-Z Slang
A truly admirable team effort.,0.007351146,Non-Toxic,Common English
Your fit is on the point!,0.017466826,Non-Toxic,Gen-Z Slang
Your outfit is quite stylish.,0.054779384,Non-Toxic,Common English
"Keep it 100, always.",0.015644746,Non-Toxic,Gen-Z Slang
Always stay true to yourself.,0.025910228,Non-Toxic,Common English
We stan a queen!,0.01017851,Non-Toxic,Gen-Z Slang
She is an exemplary leader.,0.014011159,Non-Toxic,Common English
This content is fire!,0.19219314,Non-Toxic,Gen-Z Slang
This material is outstanding.,0.02543884,Non-Toxic,Common English
